Dataset,Method,Mean_Weighted_F1,Standard_Error,Ratio_SMOTE,Imbalance_Ratio,Seed_Count
artificial_tree,Baseline,0.8536887606518846,,,,1
balance_scale,Baseline,0.800708193689924,,,,1
breast_cancer,Baseline,0.9636171990412129,,,,1
car,Baseline,0.9595831737575611,,,,1
crx,Baseline,0.884074181456666,,,,1
diabetes,Baseline,0.7532165739022376,,,,1
ecoli_5,Baseline,0.8540421261369934,,,,1
flare1,Baseline,0.8491719740578176,,,,1
glass,Baseline,0.7907344403561428,,,,1
heart_disease,Baseline,0.5252536395784337,,,,1
heart_failure,Baseline,0.8280432773637467,,,,1
hepatitis,Baseline,0.6662580099940449,,,,1
hill_valley,Baseline,0.5426534043698662,,,,1
ionosphere,Baseline,0.9435719933928401,,,,1
iris,Baseline,0.9480272738151864,,,,1
lymphography,Baseline,0.8086207245029832,,,,1
mnist_test,Baseline,0.9486223885799976,,,,1
optdigits,Baseline,0.9789468064800207,,,,1
parkinsons,Baseline,0.8914350950240314,,,,1
seeds,Baseline,0.9282992141678988,,,,1
sonar,Baseline,0.8315033192185999,,,,1
titanic,Baseline,0.7872533220195552,,,,1
treeData,Baseline,0.9338047162946904,,,,1
waveform,Baseline,0.8536887606518846,,,,1
wine,Baseline,0.9827383168358123,,,,1
artificial_tree,Unbalanced,0.6390694949263575,0.010739633521901038,,0.1,15
artificial_tree,SMOTE,0.7589362179586125,0.005876150636375272,,0.1,15
artificial_tree,RFOversample,0.7649621559184876,0.005370941678235333,,0.1,15
artificial_tree,Unbalanced,0.7385235377030297,0.007323605115232411,,0.15,15
artificial_tree,SMOTE,0.7976755911777647,0.00447029564122626,,0.15,15
artificial_tree,RFOversample,0.7994863634407119,0.00403578456754765,,0.15,15
artificial_tree,Unbalanced,0.7876438974642904,0.005733851311422686,,0.2,15
artificial_tree,SMOTE,0.8098805720353401,0.0032392519601719357,,0.2,15
artificial_tree,RFOversample,0.8126318271023579,0.002658377970176475,,0.2,15
