Dataset,Method,Mean_Weighted_F1,Standard_Error,Ratio_SMOTE,Imbalance_Ratio,Seed_Count
artificial_tree,Baseline,0.8518190412164557,,,,1
balance_scale,Baseline,0.8066454714060673,,,,1
breast_cancer,Baseline,0.9641720640071892,,,,1
car,Baseline,0.9589011034155318,,,,1
crx,Baseline,0.8835710918214404,,,,1
diabetes,Baseline,0.7427658130287665,,,,1
ecoli_5,Baseline,0.8689983764908455,,,,1
flare1,Baseline,0.8389967485400798,,,,1
glass,Baseline,0.7666108234525484,,,,1
heart_disease,Baseline,0.5196422777506624,,,,1
heart_failure,Baseline,0.8433668078799457,,,,1
hepatitis,Baseline,0.6438285478288388,,,,1
hill_valley,Baseline,0.5523369410162744,,,,1
ionosphere,Baseline,0.9347853013311053,,,,1
iris,Baseline,0.9373506832413242,,,,1
lymphography,Baseline,0.8371081363615532,,,,1
mnist_test,Baseline,0.9500935432315436,,,,1
optdigits,Baseline,0.9800253544725591,,,,1
parkinsons,Baseline,0.8786424587993099,,,,1
seeds,Baseline,0.9349054274371965,,,,1
sonar,Baseline,0.8358991313689261,,,,1
titanic,Baseline,0.7705717053602428,,,,1
treeData,Baseline,0.9400307236304993,,,,1
waveform,Baseline,0.8518190412164557,,,,1
wine,Baseline,0.990141256160322,,,,1
artificial_tree,Unbalanced,0.6309493035394543,0.008248800408278311,,0.1,15
artificial_tree,SMOTE,0.764235764743439,0.0045490954393613845,,0.1,15
artificial_tree,RFOversample,0.7518825703473019,0.003930000548002878,,0.1,15
artificial_tree,Unbalanced,0.7394436903773511,0.004965445322598535,,0.15,15
artificial_tree,SMOTE,0.7943302754900892,0.003689845602991351,,0.15,15
artificial_tree,RFOversample,0.7908229376439854,0.0031282062933497127,,0.15,15
artificial_tree,Unbalanced,0.783395377195294,0.0034894613821299385,,0.2,15
artificial_tree,SMOTE,0.808388713406908,0.002394471586996101,,0.2,15
artificial_tree,RFOversample,0.8057379964181582,0.00332326625429105,,0.2,15
balance_scale,Unbalanced,0.759055014817101,0.007089914469929348,,0.1,15
balance_scale,SMOTE,0.7385343865212727,0.007129901739479197,,0.1,15
balance_scale,RFOversample,0.7488776671419021,0.006861984706990279,,0.1,15
balance_scale,Unbalanced,0.7487991438410514,0.00673910410767034,,0.15,15
balance_scale,SMOTE,0.7251258546012299,0.00731969106782528,,0.15,15
balance_scale,RFOversample,0.7335344160468354,0.007900781741665912,,0.15,15
balance_scale,Unbalanced,0.7402030714068348,0.007802626380387689,,0.2,15
balance_scale,SMOTE,0.7067869325970303,0.0066430276142050255,,0.2,15
balance_scale,RFOversample,0.7300761914035139,0.006835742558728057,,0.2,15
breast_cancer,Unbalanced,0.8982121103535146,0.006353786742467041,,0.1,15
breast_cancer,SMOTE,0.9356213051515675,0.0051092069329399005,,0.1,15
breast_cancer,RFOversample,0.9174262235324719,0.005038285186615059,,0.1,15
breast_cancer,Unbalanced,0.9296950647489806,0.0038538514960176976,,0.15,15
breast_cancer,SMOTE,0.944644053108754,0.004181246521636033,,0.15,15
breast_cancer,RFOversample,0.9408667664795967,0.003832772543820837,,0.15,15
breast_cancer,Unbalanced,0.9444723667678626,0.003028336231663156,,0.2,15
breast_cancer,SMOTE,0.9540893143704889,0.004619055671602476,,0.2,15
breast_cancer,RFOversample,0.9488320683615244,0.004521920273370384,,0.2,15
car,Unbalanced,0.8659070351157026,0.006190180143864435,,0.1,15
car,SMOTE,0.8638300056122741,0.007346830780612898,,0.1,15
car,RFOversample,0.8638400916548769,0.006536769877601236,,0.1,15
car,Unbalanced,0.8712997998651539,0.006314336633960726,,0.15,15
car,SMOTE,0.8626879203068794,0.006661458614429464,,0.15,15
car,RFOversample,0.8642704743202082,0.0061814434304696235,,0.15,15
car,Unbalanced,0.8613545985865476,0.006304876340650791,,0.2,15
car,SMOTE,0.8599928031449215,0.005933630980969273,,0.2,15
car,RFOversample,0.8633063230085877,0.006430189216163709,,0.2,15
crx,Unbalanced,0.7180570576719564,0.010236097144527953,,0.1,15
crx,SMOTE,0.7996715989874372,0.010992378301694871,,0.1,15
crx,RFOversample,0.7889405743520784,0.010078091894330754,,0.1,15
crx,Unbalanced,0.7819422887361472,0.009508315944227312,,0.15,15
crx,SMOTE,0.8361226547936781,0.009872803755383469,,0.15,15
crx,RFOversample,0.8259078956056144,0.009708882001134386,,0.15,15
crx,Unbalanced,0.8170136616544296,0.00819792526414173,,0.2,15
crx,SMOTE,0.8455490906767736,0.008495654492633406,,0.2,15
crx,RFOversample,0.8529758893804755,0.0077642440041558415,,0.2,15
diabetes,Unbalanced,0.5983745853627356,0.011516152811351179,,0.1,15
diabetes,SMOTE,0.6760426233530067,0.009801793256148775,,0.1,15
diabetes,RFOversample,0.6700876460064688,0.009942878166941723,,0.1,15
diabetes,Unbalanced,0.6425639344278335,0.00908779413225653,,0.15,15
diabetes,SMOTE,0.7053857755021896,0.009745406472693766,,0.15,15
diabetes,RFOversample,0.6952414469455415,0.006294145338197797,,0.15,15
diabetes,Unbalanced,0.6823690136083954,0.008000556630002011,,0.2,15
diabetes,SMOTE,0.7176727232579856,0.006373192052886048,,0.2,15
diabetes,RFOversample,0.7131498973398191,0.005907151261011789,,0.2,15
ecoli_5,Unbalanced,0.8582279192150547,0.007496012683259037,,0.1,15
ecoli_5,SMOTE,0.8490516527409968,0.008253469642598175,,0.1,15
ecoli_5,RFOversample,0.847951997086948,0.008381261930254413,,0.1,15
ecoli_5,Unbalanced,0.8589980057872285,0.008318271579046764,,0.15,15
ecoli_5,SMOTE,0.8629726313880222,0.007702593406036236,,0.15,15
ecoli_5,RFOversample,0.8584738990521482,0.008960158871546811,,0.15,15
ecoli_5,Unbalanced,0.8593820120684739,0.0077636592344509925,,0.2,15
ecoli_5,SMOTE,0.8593820120684739,0.0077636592344509925,,0.2,15
ecoli_5,RFOversample,0.8593820120684739,0.0077636592344509925,,0.2,15
flare1,Unbalanced,0.7557942942413245,0.011416807390143122,,0.1,15
flare1,SMOTE,0.7473962031768377,0.009334836663196679,,0.1,15
flare1,RFOversample,0.7507039299497238,0.009159623339624097,,0.1,15
flare1,Unbalanced,0.7535134422810512,0.008706095891356541,,0.15,15
flare1,SMOTE,0.7536349136768474,0.007770216455764229,,0.15,15
flare1,RFOversample,0.7496428366494642,0.007635281974830072,,0.15,15
flare1,Unbalanced,0.7465405632372696,0.0077093039969214384,,0.2,15
flare1,SMOTE,0.7492991165231824,0.006992943747673496,,0.2,15
flare1,RFOversample,0.7422197963304977,0.007503710006905753,,0.2,15
glass,Unbalanced,0.7166243008028691,0.01109542808492534,,0.1,15
glass,SMOTE,0.708594948285942,0.015220918842133958,,0.1,15
glass,RFOversample,0.7104704814747157,0.00938948644243425,,0.1,15
glass,Unbalanced,0.7104001475935924,0.011794454348141296,,0.15,15
glass,SMOTE,0.7127765605478693,0.013455139499354835,,0.15,15
glass,RFOversample,0.7093832912116866,0.015861320794066394,,0.15,15
glass,Unbalanced,0.705563915379102,0.011794801871151075,,0.2,15
glass,SMOTE,0.687848439939128,0.01420541372978508,,0.2,15
glass,RFOversample,0.6803392943825337,0.011497660688603476,,0.2,15
heart_disease,Unbalanced,0.5351726694078477,0.006830609536936967,,0.1,15
heart_disease,SMOTE,0.5288837148712818,0.006685822898956453,,0.1,15
heart_disease,RFOversample,0.5281782487793962,0.009343188812212648,,0.1,15
heart_disease,Unbalanced,0.5363114881380407,0.008049232817666072,,0.15,15
heart_disease,SMOTE,0.5239896361396514,0.008144121313376105,,0.15,15
heart_disease,RFOversample,0.5215762846256816,0.009617303048730734,,0.15,15
heart_disease,Unbalanced,0.5234695360983121,0.007322891371727909,,0.2,15
heart_disease,SMOTE,0.5234695360983121,0.007322891371727909,,0.2,15
heart_disease,RFOversample,0.5234695360983121,0.007322891371727909,,0.2,15
