Dataset,Method,Mean_Weighted_F1,Standard_Error,Ratio_SMOTE,Imbalance_Ratio,Seed_Count
artificial_tree,Baseline,0.8497042923136717,,,,1
balance_scale,Baseline,0.8069342113717662,,,,1
breast_cancer,Baseline,0.9664718117832164,,,,1
car,Baseline,0.9577001468380254,,,,1
chess,Baseline,0.9901966276300509,,,,1
crx,Baseline,0.8718105661442318,,,,1
diabetes,Baseline,0.762730218646313,,,,1
ecoli_5,Baseline,0.8782861663481337,,,,1
flare1,Baseline,0.8499162341531702,,,,1
glass,Baseline,0.7569612520719394,,,,1
heart_disease,Baseline,0.5277923767079693,,,,1
heart_failure,Baseline,0.8323475343039047,,,,1
hepatitis,Baseline,0.6467746851768218,,,,1
hill_valley,Baseline,0.5529455468579749,,,,1
ionosphere,Baseline,0.9359234463996347,,,,1
iris,Baseline,0.9599124394535963,,,,1
lymphography,Baseline,0.8417492487873822,,,,1
mnist_test,Baseline,0.9496026089054223,,,,1
optdigits,Baseline,0.9792045006007861,,,,1
parkinsons,Baseline,0.8946530671487649,,,,1
seeds,Baseline,0.9317818618970961,,,,1
sonar,Baseline,0.8388889745851613,,,,1
tic-tac-toe,Baseline,0.9743616182630781,,,,1
titanic,Baseline,0.7885326843585514,,,,1
treeData,Baseline,0.9380672879695452,,,,1
waveform,Baseline,0.8497042923136717,,,,1
wine,Baseline,0.9851981928821032,,,,1
artificial_tree,Unbalanced,0.6517198764519624,0.006888120436686535,,0.1,15
artificial_tree,SMOTE,0.7666019777765135,0.004864863435771818,,0.1,15
artificial_tree,RFOversample,0.7677465103145901,0.005241923078456185,,0.1,15
artificial_tree,Unbalanced,0.745983786108305,0.005663799358825206,,0.15,15
artificial_tree,SMOTE,0.7994518390459239,0.003862052131446448,,0.15,15
artificial_tree,RFOversample,0.799633723605523,0.004105358211872911,,0.15,15
artificial_tree,Unbalanced,0.7946104482432682,0.004486189296634828,,0.2,15
artificial_tree,SMOTE,0.8157956764020822,0.0031344597301658805,,0.2,15
artificial_tree,RFOversample,0.8180739372823115,0.0033195998203478143,,0.2,15
balance_scale,Unbalanced,0.7737675308741228,0.005735134867568251,,0.1,15
balance_scale,SMOTE,0.7322595922057694,0.00581740730481914,,0.1,15
balance_scale,RFOversample,0.7507834641029202,0.006506640664957079,,0.1,15
balance_scale,Unbalanced,0.75456916466941,0.003809484122361587,,0.15,15
balance_scale,SMOTE,0.7192748152079799,0.004211018675332446,,0.15,15
balance_scale,RFOversample,0.7383863559118654,0.005586914026041179,,0.15,15
balance_scale,Unbalanced,0.7341255989568716,0.0049354362147239796,,0.2,15
balance_scale,SMOTE,0.7162687517958151,0.006987255506374188,,0.2,15
balance_scale,RFOversample,0.7232809888962485,0.005086959465865294,,0.2,15
breast_cancer,Unbalanced,0.9100990021302707,0.005141034151999922,,0.1,15
breast_cancer,SMOTE,0.9408760425044537,0.0036777963140817243,,0.1,15
breast_cancer,RFOversample,0.9233957119227516,0.005006756886866352,,0.1,15
breast_cancer,Unbalanced,0.9359459687343762,0.004340077914422254,,0.15,15
breast_cancer,SMOTE,0.9524401213691663,0.0038504341606584403,,0.15,15
breast_cancer,RFOversample,0.9458700221046717,0.0033944837611242992,,0.15,15
breast_cancer,Unbalanced,0.9530049248374277,0.0029029083564195055,,0.2,15
breast_cancer,SMOTE,0.9605971558250004,0.0023764059636832936,,0.2,15
breast_cancer,RFOversample,0.9557117212814895,0.0029726678129249734,,0.2,15
car,Unbalanced,0.8798476986949755,0.0056759793201464764,,0.1,15
car,SMOTE,0.8651673849842538,0.006081102512497094,,0.1,15
car,RFOversample,0.8647955326034247,0.005798923334767485,,0.1,15
car,Unbalanced,0.8732370753573592,0.006366308546247555,,0.15,15
car,SMOTE,0.8607528546904842,0.006732557806799175,,0.15,15
car,RFOversample,0.8658761101771333,0.006832844680149562,,0.15,15
car,Unbalanced,0.8685134970364847,0.007201281749499917,,0.2,15
car,SMOTE,0.8648738846678107,0.006978803190381041,,0.2,15
car,RFOversample,0.8661739856425231,0.007046543380095063,,0.2,15
chess,Unbalanced,0.6823048813038157,0.01246425423353189,,0.1,15
chess,SMOTE,0.7465038614647599,0.009826162841457396,,0.1,15
chess,RFOversample,0.7321923683601127,0.014645105724364936,,0.1,15
chess,Unbalanced,0.8148881945802905,0.009014910258328264,,0.15,15
chess,SMOTE,0.8510123759577404,0.010289778916728113,,0.15,15
chess,RFOversample,0.8421394135520441,0.007927650010836616,,0.15,15
chess,Unbalanced,0.8825676670167357,0.006987264862699374,,0.2,15
chess,SMOTE,0.8979560394479881,0.00602766612732385,,0.2,15
chess,RFOversample,0.8842433807847586,0.006307441109332317,,0.2,15
crx,Unbalanced,0.6878618785193981,0.009202223968054776,,0.1,15
crx,SMOTE,0.7854626683481932,0.0093216228172091,,0.1,15
crx,RFOversample,0.769795058208276,0.014447264569789084,,0.1,15
crx,Unbalanced,0.781866852929158,0.008460532669727133,,0.15,15
crx,SMOTE,0.8278146706907965,0.009087962049646356,,0.15,15
crx,RFOversample,0.8315253799255625,0.005949466364435637,,0.15,15
crx,Unbalanced,0.8219484451222381,0.006165611180990337,,0.2,15
crx,SMOTE,0.845946148921722,0.005637665713010944,,0.2,15
crx,RFOversample,0.8394726829728031,0.006609101218372054,,0.2,15
diabetes,Unbalanced,0.5968500398773221,0.009186906259023143,,0.1,15
diabetes,SMOTE,0.6921790805579308,0.00919258041043192,,0.1,15
diabetes,RFOversample,0.673714998585169,0.008053017303360032,,0.1,15
diabetes,Unbalanced,0.6548951184981155,0.009122713431844072,,0.15,15
diabetes,SMOTE,0.7072069954650794,0.0060690298471256605,,0.15,15
diabetes,RFOversample,0.7069261810533618,0.0074482870247699305,,0.15,15
diabetes,Unbalanced,0.6968136443964862,0.0075929969958559995,,0.2,15
diabetes,SMOTE,0.7304371148229956,0.006567357532828435,,0.2,15
diabetes,RFOversample,0.7267314849326553,0.008116632819649331,,0.2,15
ecoli_5,Unbalanced,0.8565906213740568,0.010376867901075839,,0.1,15
ecoli_5,SMOTE,0.8620881807884765,0.011341497420443932,,0.1,15
ecoli_5,RFOversample,0.8547325206600124,0.008702777796216617,,0.1,15
ecoli_5,Unbalanced,0.8599238145306196,0.008799437403902521,,0.15,15
ecoli_5,SMOTE,0.8575072705726399,0.008088009052900573,,0.15,15
ecoli_5,RFOversample,0.8552501904638612,0.009037407983755906,,0.15,15
ecoli_5,Unbalanced,0.8607380094089787,0.01077165695821669,,0.2,15
ecoli_5,SMOTE,0.8607380094089787,0.01077165695821669,,0.2,15
ecoli_5,RFOversample,0.8607380094089787,0.01077165695821669,,0.2,15
flare1,Unbalanced,0.7499785910447069,0.008577699674363705,,0.1,15
flare1,SMOTE,0.7397826663084701,0.00899081500059259,,0.1,15
