Dataset,Method,Mean_Weighted_F1,Standard_Error,Ratio_SMOTE,Imbalance_Ratio,Seed_Count
artificial_tree,Baseline,0.8536570804008992,,,,1
balance_scale,Baseline,0.8121581751041489,,,,1
breast_cancer,Baseline,0.9663324869833513,,,,1
car,Baseline,0.9506945786972711,,,,1
crx,Baseline,0.8695307459026205,,,,1
diabetes,Baseline,0.7570823917993972,,,,1
ecoli_5,Baseline,0.8694418336595788,,,,1
flare1,Baseline,0.8435741262589396,,,,1
glass,Baseline,0.7799153236505458,,,,1
heart_failure,Baseline,0.8392881565688608,,,,1
hepatitis,Baseline,0.6885380561223308,,,,1
ionosphere,Baseline,0.9371455410153432,,,,1
iris,Baseline,0.9519889280418546,,,,1
mnist_test,Baseline,0.9502904639205134,,,,1
optdigits,Baseline,0.9785049931751637,,,,1
parkinsons,Baseline,0.910991666515,,,,1
seeds,Baseline,0.9286075226403463,,,,1
sonar,Baseline,0.799096055141302,,,,1
titanic,Baseline,0.7792828977216116,,,,1
treeData,Baseline,0.9369247104560694,,,,1
waveform,Baseline,0.8536570804008992,,,,1
wine,Baseline,0.984239081384349,,,,1
artificial_tree,Unbalanced,0.6447769401904764,0.00672035769674809,,0.1,20
artificial_tree,SMOTE,0.768276114399675,0.0043050587412830675,,0.1,20
artificial_tree,RFOversample,0.7677924109713461,0.005065834346288382,,0.1,20
balance_scale,Unbalanced,0.7652189445966554,0.00525720341348386,,0.1,20
balance_scale,SMOTE,0.7412667015001789,0.0064221069442121125,,0.1,20
balance_scale,RFOversample,0.7249725805639355,0.007916533413086064,,0.1,20
breast_cancer,Unbalanced,0.9120364287695735,0.0050248981982496665,,0.1,20
breast_cancer,SMOTE,0.9447507553441664,0.0034106880318691573,,0.1,20
breast_cancer,RFOversample,0.9599662906617853,0.003174942158501427,,0.1,20
car,Unbalanced,0.8698199980825502,0.003740774157617408,,0.1,20
car,SMOTE,0.8636399058594891,0.0037838496066315104,,0.1,20
car,RFOversample,0.8644216481149234,0.003533875223274571,,0.1,20
crx,Unbalanced,0.7046494603851869,0.012952896678397522,,0.1,20
crx,SMOTE,0.7959635713136659,0.007511734200117005,,0.1,20
crx,RFOversample,0.839596471587581,0.007904057970619873,,0.1,20
diabetes,Unbalanced,0.5970314098499201,0.009786156596565692,,0.1,20
diabetes,SMOTE,0.6907611503707641,0.00741043202509287,,0.1,20
diabetes,RFOversample,0.697472426207747,0.007439012096701498,,0.1,20
ecoli_5,Unbalanced,0.8472446936155696,0.005520310614642337,,0.1,20
ecoli_5,SMOTE,0.8471427863420956,0.005904099149923709,,0.1,20
ecoli_5,RFOversample,0.8477160193555535,0.00556594132238684,,0.1,20
flare1,Unbalanced,0.7373520509746091,0.009878916560483758,,0.1,20
flare1,SMOTE,0.734223523633108,0.009928555816628815,,0.1,20
flare1,RFOversample,0.738394919042124,0.009525389091864872,,0.1,20
glass,Unbalanced,0.7313773698030185,0.010181984924045592,,0.1,20
glass,SMOTE,0.738685238736023,0.010021933824384,,0.1,20
glass,RFOversample,0.7348497941301779,0.011508849413978305,,0.1,20
heart_failure,Unbalanced,0.7101199959751981,0.013331497839149886,,0.1,20
heart_failure,SMOTE,0.7367878830953751,0.011241202215181061,,0.1,20
heart_failure,RFOversample,0.7899536172598822,0.01256163733363097,,0.1,20
hepatitis,Unbalanced,0.6006531284197699,0.012390395923171559,,0.1,20
hepatitis,SMOTE,0.6213458980287131,0.012504210770171748,,0.1,20
hepatitis,RFOversample,0.6287113598008475,0.016623923800189778,,0.1,20
ionosphere,Unbalanced,0.900148465873379,0.005717843161298111,,0.1,20
ionosphere,SMOTE,0.8928032116507773,0.006370408936194183,,0.1,20
ionosphere,RFOversample,0.905049541003266,0.005652666057150679,,0.1,20
iris,Unbalanced,0.9485298418485757,0.006972541842654873,,0.1,20
iris,SMOTE,0.9485117289493885,0.006607587563593972,,0.1,20
iris,RFOversample,0.9497196493511846,0.005948419725463534,,0.1,20
mnist_test,Unbalanced,0.8120925151525553,0.002579825909214368,,0.1,20
mnist_test,SMOTE,0.8120925151525553,0.002579825909214368,,0.1,20
mnist_test,RFOversample,0.8120925151525553,0.002579825909214368,,0.1,20
optdigits,Unbalanced,0.9249547535134075,0.0024842438237881585,,0.1,20
optdigits,SMOTE,0.9249547535134075,0.0024842438237881585,,0.1,20
optdigits,RFOversample,0.9249547535134075,0.0024842438237881585,,0.1,20
parkinsons,Unbalanced,0.8566101818538779,0.010423949894707019,,0.1,20
parkinsons,SMOTE,0.8642538325909974,0.010633207725591554,,0.1,20
parkinsons,RFOversample,0.8708605240660404,0.00821594483894877,,0.1,20
seeds,Unbalanced,0.9088281965364038,0.012082719812046117,,0.1,20
seeds,SMOTE,0.9141821694982595,0.010045774470830715,,0.1,20
seeds,RFOversample,0.9205112446464317,0.01022801490325964,,0.1,20
sonar,Unbalanced,0.552163631366773,0.011290612917752418,,0.1,20
sonar,SMOTE,0.7129471405218369,0.013887166665786236,,0.1,20
sonar,RFOversample,0.7265667599516531,0.010626980153288822,,0.1,20
titanic,Unbalanced,0.6821895623202296,0.010210710221972496,,0.1,20
titanic,SMOTE,0.7230962941510594,0.009418610897419815,,0.1,20
titanic,RFOversample,0.7427726375414794,0.005815221884955421,,0.1,20
treeData,Unbalanced,0.917609094757846,0.004019991309382792,,0.1,20
treeData,SMOTE,0.917609094757846,0.004019991309382792,,0.1,20
treeData,RFOversample,0.917609094757846,0.004019991309382792,,0.1,20
waveform,Unbalanced,0.6447769401904764,0.00672035769674809,,0.1,20
waveform,SMOTE,0.768276114399675,0.0043050587412830675,,0.1,20
waveform,RFOversample,0.7703541446758113,0.00397561232736206,,0.1,20
wine,Unbalanced,0.9832566133675554,0.00472428434961511,,0.1,20
wine,SMOTE,0.9851534599718621,0.004268795338742465,,0.1,20
wine,RFOversample,0.9842459291143868,0.003763353677735786,,0.1,20
