Dataset,Method,Mean,Standard_Error,Ratio_SMOTE,Imbalance_Ratio,Seed_Count
hill_valley,SMOTE,0.5177337176132971,0.020721692770658492,0.5,0.05,5
hill_valley,Proximity,0.5167058776059535,0.026049597656842328,0.5,0.05,5
hill_valley,Hybrid,0.5338141101674811,0.016994579851973467,0.5,0.05,5
ionosphere,Baseline,0.9349862127472026,0.008330536696077575,0.5,0.05,5
ionosphere,Unbalanced,0.905060712561994,0.017709536216982933,0.5,0.05,5
ionosphere,SMOTE,0.8952057324211286,0.005633476096271206,0.5,0.05,5
ionosphere,Proximity,0.9161485073260206,0.01351001532418971,0.5,0.05,5
ionosphere,Hybrid,0.8965990349735972,0.008694585955037453,0.5,0.05,5
iris,Baseline,0.9421380458004485,0.013491757665970177,0.5,0.05,5
iris,Unbalanced,0.9331597718805729,0.015487699920157144,0.5,0.05,5
iris,SMOTE,0.9463975734711738,0.01366568552047779,0.5,0.05,5
iris,Proximity,0.9375992725603405,0.017187397143982198,0.5,0.05,5
iris,Hybrid,0.9509871197273867,0.009796233921538257,0.5,0.05,5
lymphography,Baseline,0.7767938755452629,0.011981476125963075,0.5,0.05,5
lymphography,Unbalanced,0.8167866770358815,0.011281386625609569,0.5,0.05,5
lymphography,SMOTE,0.8069462319606266,0.0042970202282615055,0.5,0.05,5
lymphography,Proximity,0.8067469206654906,0.007758931854122598,0.5,0.05,5
lymphography,Hybrid,0.8109635194395626,0.008192711828030691,0.5,0.05,5
parkinsons,Baseline,0.8480943671737446,0.02329022349973814,0.5,0.05,5
parkinsons,Unbalanced,0.830226307271903,0.026056838637486025,0.5,0.05,5
parkinsons,SMOTE,0.8383918606352421,0.020881469344378498,0.5,0.05,5
parkinsons,Proximity,0.8467977562517157,0.02476455637814229,0.5,0.05,5
parkinsons,Hybrid,0.8281005034402682,0.021151856654057243,0.5,0.05,5
seeds,Baseline,0.9263078112106384,0.01619501736194934,0.5,0.05,5
seeds,Unbalanced,0.896743972929303,0.012833406706280918,0.5,0.05,5
seeds,SMOTE,0.9266806842288229,0.01124384212085817,0.5,0.05,5
seeds,Proximity,0.9134779933239496,0.013571782935557861,0.5,0.05,5
seeds,Hybrid,0.9233368963664214,0.01382002502530868,0.5,0.05,5
sonar,Baseline,0.8174491425061798,0.01938123383149916,0.5,0.05,5
sonar,Unbalanced,0.6320101563466183,0.023789160377088756,0.5,0.05,5
sonar,SMOTE,0.7124917622146748,0.022077813774977202,0.5,0.05,5
sonar,Proximity,0.7192126909439535,0.02260919262200038,0.5,0.05,5
sonar,Hybrid,0.7358265623950376,0.01836893837454758,0.5,0.05,5
tic-tac-toe,Baseline,0.9247816531565324,0.01266238634878538,0.5,0.05,5
tic-tac-toe,Unbalanced,0.5820571860405778,0.014026584221148494,0.5,0.05,5
tic-tac-toe,SMOTE,0.7294971799981664,0.017495120652064496,0.5,0.05,5
tic-tac-toe,Proximity,0.6411184054664889,0.012930711231785021,0.5,0.05,5
tic-tac-toe,Hybrid,0.7008258241741568,0.018938073240716828,0.5,0.05,5
titanic,Baseline,0.7973088360025551,0.01103945229058833,0.5,0.05,5
titanic,Unbalanced,0.7035714142897704,0.02058505709877934,0.5,0.05,5
titanic,SMOTE,0.7518875854053951,0.018383484804043428,0.5,0.05,5
titanic,Proximity,0.7185228828173941,0.02226683435094594,0.5,0.05,5
titanic,Hybrid,0.752709757077819,0.020389856870010905,0.5,0.05,5
waveform,Baseline,0.8481817308061984,0.0026726792172377003,0.5,0.05,5
waveform,Unbalanced,0.6390284557667149,0.009657950898459909,0.5,0.05,5
waveform,SMOTE,0.7635851471222924,0.008289856502104372,0.5,0.05,5
waveform,Proximity,0.765086104465367,0.006118690396621889,0.5,0.05,5
waveform,Hybrid,0.7704874784409688,0.005386623485349383,0.5,0.05,5
wine,Baseline,0.985199677356009,0.0033094987360097077,0.5,0.05,5
wine,Unbalanced,0.9889132247904868,0.004048325641487435,0.5,0.05,5
wine,SMOTE,0.9815521136793757,0.005205123654551138,0.5,0.05,5
wine,Proximity,0.9778532929073842,0.003277828899286107,0.5,0.05,5
wine,Hybrid,0.9815521136793757,0.005205123654551138,0.5,0.05,5
